,Buy and Hold Sharpe,Buy and Hold Total Return,Number of Trades,Strategy Sharpe,Strategy Total Return,Symbols
102,-0.012257586906148745,-0.06968806335372357,2.0,-0.04104705869034523,-0.0033750298862551473,ALK
103,0.0667778085949222,0.20020287283698024,3.0,2.9209994538308632,0.05032596420014512,ALLE
104,0.14031029585504812,0.3828270215784876,5.0,1.5950188951366133,0.05776485820167679,ALL
105,0.008091275526434695,0.05790880796662068,9.0,1.1803897581651535,0.5398607474323621,ALXN
107,0.06272593143078553,0.7326100429033088,28.0,0.8221895152174755,1.2437681750313447,AMD
108,0.1685761584473695,0.5180680776159731,2.0,2.889506006704011,0.03880751754556757,AME
109,0.06845383629392722,0.2672421616331946,11.0,1.3227171420169044,0.2494884673907149,AMGN
110,0.08721928617734259,0.3746826257798289,2.0,183.3279036088504,0.03025804448312325,AMG
111,0.12481063191205431,0.5993695458405832,12.0,1.5561930126716523,0.2143005647712243,AMP
112,0.061427488360527166,0.21458375542049568,4.0,1.3957594629319898,0.040555919995236875,AMT
113,0.14265110018752025,0.6205961463053817,18.0,0.5997766728780144,0.2772193253634119,AMZN
114,0.05748116577047275,0.2555109414744552,10.0,1.2079165146487392,0.1850260441519161,ANDV
115,0.1625115350105142,0.6149936475638123,1.0,0.019235095613048297,0.019235095613048297,ANSS
116,0.0461782369191259,0.26785233502366856,10.0,0.854532936883164,0.24950519055210235,AAL
117,0.10494215674904778,0.39020725970942627,5.0,1.0272757541561266,0.0323026559172715,AAPL
118,-0.015834807599201046,-0.12436405311325194,7.0,1.1547705394947454,0.11887661375357571,AAP
119,0.14448877505596794,0.693322867208432,5.0,2.3321268814359426,0.10985715319954416,ABBV
121,0.12837724868118588,0.40244797966627166,5.0,1.2364828426639347,0.08511791139977105,ABT
122,0.09268515548165075,0.27096000594227576,6.0,2.4143879444050906,0.3112252493439859,ACN
123,0.1401915004224672,0.6003495811018474,2.0,3.2548031433259648,0.08312132376760015,ADBE
125,-0.02041412609550638,-0.08257255806567065,3.0,1.033071721253372,0.07414530760863844,ADM
127,0.07989976738365195,0.4892653268169691,20.0,0.29122787057155636,0.23422105945874835,ADSK
128,0.04587998762406523,0.23249020626300942,16.0,1.4924296920069995,0.34686969456294797,ADS
129,0.02061197360434516,0.0588098335766033,27.0,0.9038025795834116,0.32866704499106336,AEE
130,0.011397100122498003,0.030082930573532063,18.0,1.508429251719865,0.21918370314265137,AEP
133,0.07835116791368492,0.21981916019454772,6.0,2.1684071265565974,0.03873124609767186,AFL
134,-0.02541194836353694,-0.12129303125411162,10.0,1.2309494447156182,0.2821266074970893,AGN
135,0.01135476073296682,0.037642122418666824,18.0,0.9086476845227605,0.11055290454312623,AIG
136,-0.14838846509200407,-0.6241365067703916,4.0,1.06361599947364,0.03389588165270608,GE
137,-0.015227528437886195,-0.08646667354257764,28.0,1.0475724138567384,0.4305411090727348,GGP
138,0.031835062591246445,0.14473383273008467,2.0,6.249891309598585,0.10063999222130403,GILD
139,-0.027585268350742532,-0.10167782854851692,8.0,-0.0032858115409636806,-0.0011878044831328503,GIS
140,0.07455906654732672,0.28377015108309667,1.0,0.00941080196399347,0.00941080196399347,GLW
141,0.0671321552131916,0.3156468247962261,8.0,1.2641275260860518,0.29505182433773786,GM
142,0.08609860363932957,0.29321691875551736,17.0,1.566184989736963,0.3213961257735848,GOOGL
143,0.09203282537820412,0.24673496189047717,5.0,0.908105463344755,0.07446748776965306,GOOG
144,0.03581593535948088,0.13684452296815364,7.0,2.932865942296619,0.12530519979439544,GPC
145,0.10311084815676012,0.4186855387766786,22.0,1.801237632192911,0.43474707549916813,GPN
146,0.03819495687094482,0.27320590298588987,11.0,0.4344928387289424,0.15610410802964259,GPS
147,0.07894001926043145,0.29838766589090704,8.0,2.1670442970860564,0.22530065804466937,GRMN
150,0.0433528186959451,0.2768000507267042,7.0,1.3660645745998574,0.15969220606124254,GWW
151,0.017084567552551853,0.0943177462900785,8.0,0.8748841695148971,0.1869285387716191,HAL
152,0.047434090836668795,0.26008127506444645,11.0,0.7344363868648001,0.08687014235062882,HAS
154,-0.007036116471167376,-0.04217109170752298,18.0,0.5293653302864217,0.1812096662333729,HBI
155,0.05209379891946983,0.24837771309162204,6.0,1.025974169028144,0.26195842372912936,HCA
156,-0.04028464229641274,-0.13906575841732383,15.0,1.0965035223883288,0.2380026443108395,HCN
157,-0.0587670405935324,-0.2327525611966732,10.0,0.7303041818212554,0.20875369597853574,HCP
158,0.14713859122511405,0.45083082897533544,8.0,1.4610927290460587,0.11920128882579287,HD
159,0.00010568999451186893,0.0007215511519856888,4.0,3.8290903536587946,0.24267959494381183,HES
161,0.10397363085542567,0.4906979548903805,15.0,1.6666026415947057,0.31065045704028665,HII
162,0.17373332858279958,0.12526099583043215,5.0,-0.22595101428796519,-0.015136207203970055,HLT
163,-0.02386544155353782,-0.11569201472955959,11.0,1.2052249289635328,0.20903919518747505,HOG
164,0.017679919745649295,0.06984508001752143,18.0,1.2439522406838797,0.20421911228730666,HOLX
165,0.13436432416698574,0.3156961536921341,7.0,1.0057917809091508,0.06676407933935292,HON
166,-0.0051485608265340165,-0.020095994256431382,14.0,0.8707980845572864,0.23135013845976515,HPE
167,0.09538080696862453,0.17336499264244465,3.0,1.05775698671389,0.0576099943680638,HPQ
168,0.022173211834818653,0.14311644862365924,6.0,1.0834994366572417,0.21855920247480612,HP
169,0.03418424470712705,0.22221957498146316,3.0,0.5691096898028859,0.04068210110007933,HRB
170,-0.025098944794013294,-0.09946390290724105,16.0,0.5753806183423671,0.20687037315088247,HRL
171,0.152346200456013,0.46998065355326724,15.0,1.190039054407767,0.179133873202329,HRS
172,-0.008466812577473937,-0.03685317577424585,9.0,1.1122235599763521,0.19085575510977026,HSIC
174,-0.00411228196251635,-0.011944859587416534,15.0,1.3058135887304771,0.20547284128659055,HSY
175,0.10838940927271484,0.44173672809338327,7.0,0.6702040870178284,0.06725208455766517,HUM
176,0.0017168481494357546,0.005771222138859389,5.0,1.3730562539179982,0.057370904698241576,IBM
177,0.06912240025270344,0.285838434344163,26.0,0.5734562301220132,0.23766274368989593,ICE
178,0.10989662293734805,0.5243029346891597,5.0,1.275272407501664,0.08331359293861738,IDXX
179,0.030293751636327405,0.10323140930805152,13.0,0.871897281830922,0.1850144599608058,IFF
180,0.08715683456753504,0.5368586253442507,3.0,3.1332880571561685,0.09821226788061695,ILMN
181,0.003767170688414146,0.02914343561708721,11.0,1.1347265071989363,0.40764791002244016,INCY
182,0.04985361953903039,0.11884197281570474,7.0,-0.25006119177544645,-0.047371091993980555,INFO
183,0.0715631247778529,0.29055802892608495,11.0,0.9891497840467468,0.20018556501850765,INTC
184,0.12072482703601482,0.4213441505274178,19.0,0.9071574297898526,0.15035147293305193,INTU
185,-0.0006711174965750217,-0.0033377683810035252,22.0,0.5988195318272925,0.4428707144112664,IPG
187,0.05814535602413614,0.2170217097185434,11.0,1.484517718121655,0.5559881636672848,IQV
188,0.005741697484210281,0.02345698033459187,9.0,1.223138325067552,0.23215299313682294,IRM
190,0.1403825536142522,0.5985678062434024,1.0,0.07450964319643609,0.07450964319643609,ISRG
191,0.12033620322638867,0.34632449098038054,5.0,1.1690062191536057,0.050430168055117894,ITW
192,0.06347885080583987,0.25395614685409185,2.0,6.602969575640754,0.08132331505496411,IT
193,0.04509871619565317,0.18928324933133633,12.0,1.201343450968926,0.2172373680555894,IVZ
194,0.09965298861807757,0.3793016050572169,1.0,0.030188679245283116,0.030188679245283116,JBHT
195,-0.017365541732274753,-0.07244775639893208,3.0,3.4745230753254077,0.08378089275266554,JCI
196,0.06786044220994415,0.3257471424440024,2.0,1.1715481951558664,0.01718826408818225,JEC
197,0.04844310948319334,0.13083341980294572,18.0,1.5803499999263408,0.17453486987730008,JNJ
198,0.006618527004193379,0.030703507787890105,5.0,0.45630467590458756,0.054960150874406935,JNPR
199,0.14279484861107755,0.4992343393631584,1.0,0.03677141739470605,0.03677141739470605,JPM
200,0.004632800071132642,0.03343444898695558,15.0,1.4232805398373507,0.4014141865491574,JWN
203,-0.10715883414660304,-0.5240748139951207,2.0,9.114601311701621,0.015869877224066686,KIM
204,0.06818083586432101,0.34890402230883966,3.0,1.139011699074552,0.08759081895647244,KLAC
205,0.00021796048272309902,0.000668859198346472,8.0,1.2755376300685015,0.1681939457384704,KMB
206,-0.030479578835294462,-0.1266100110837559,14.0,0.8051055424660531,0.16885063496181135,KMI
207,0.05425401427705005,0.28142610919031397,13.0,1.0248343857047295,0.34531614720852327,KMX
208,0.05001329650271402,0.3472231675332367,12.0,1.55642307098203,0.4147959587644985,KORS
209,0.025768827367361177,0.05577281374673626,27.0,0.7941479682536491,0.1728246169924322,KO
210,-0.0017399238141495603,-0.01101024547190732,2.0,4.202435503107253,0.026008803111002562,KR
211,0.05890487737259768,0.46168304160179585,4.0,1.7394924530019393,0.139773716966489,KSS
212,0.04143677675624545,0.1921875871452875,18.0,1.1158478548364845,0.46908123381724953,KSU
213,-0.035553102852367575,-0.13254577069255424,1.0,0.020833333333333363,0.020833333333333363,K
214,-0.022235256277681453,-0.18181815140652235,1.0,0.005565165074828978,0.005565165074828978,LB
215,0.006120923844773168,0.02198637126078007,31.0,0.8925364533685336,0.3149190557028027,LEG
216,0.09532610095797624,0.4247184551278863,10.0,1.9157552574510615,0.1446001147467413,LEN
217,0.08848061159973518,0.32624552913260363,2.0,2.176382434727437,0.029422734836657187,LH
218,0.07434290499331561,0.25772143387079716,7.0,3.096044549355793,0.1311219210977776,LKQ
219,0.12454188293675204,0.43095332821403953,17.0,1.7716797944844642,0.3686395526763074,LLL
220,0.015879519189411904,0.06401406757222794,14.0,1.1351134560805947,0.14078126231676116,LLY
221,0.13543928432727195,0.37990074965940346,22.0,1.5001714053181978,0.4042320793505283,LMT
224,0.0959533275787566,0.42794757960745455,13.0,1.2738812003558604,0.37738514202962165,LOW
225,0.10442471974554454,0.6103105079274557,21.0,0.6020213045085647,0.32123753485467416,LRCX
228,0.0821590776743507,0.3623403304330155,5.0,1.336419359712489,0.04527352938262493,LYB
230,-0.014718581904943196,-0.048635699221950435,27.0,0.7903153362597318,0.2548922820891486,MAA
231,-0.020092267711845187,-0.10101496057117132,3.0,2.910465969829312,0.049988513703275665,MAC
233,0.10000891894173566,0.3652046642497153,6.0,2.077461072977354,0.10357295679379153,MAS
234,-0.05227902791684314,-0.467706770770309,18.0,1.1145655559674692,1.087293007905445,MAT
235,0.15613072178327136,0.4807208131991568,5.0,1.62857740153451,0.04455375390652517,MA
236,0.15067540372769203,0.39559706449567666,7.0,1.2872873359703045,0.07773659871894716,MCD
237,0.06638041087963419,0.32599140967559626,18.0,0.7870222756675523,0.28002456552985555,MCHP
238,0.032425973817364166,0.17313920288795925,5.0,0.9293062541602534,0.0682901536817047,MCK
239,0.15362729770758182,0.4772089073530795,4.0,0.38309674260359955,0.02337942401776844,MCO
240,0.004949246820431091,0.018589673756891467,10.0,1.2280851947367493,0.1847575868952595,MDLZ
241,-0.003368479803214832,-0.011775225479345619,9.0,1.3241963003476525,0.0674006491226402,MDT
242,-0.00028334764463424543,-0.0013176941390879993,6.0,0.4726479436545959,0.07893707230161714,MET
243,0.05688909343828682,0.283739858837031,15.0,0.6073467237938185,0.22867339068149417,MGM
244,0.11184962838089922,0.332293402165622,4.0,1.7633161546950487,0.06080747505893294,MHK
245,0.02966075976575098,0.10596425384299979,6.0,-0.18952787930624176,-0.030444184091132784,MKC
246,0.02656946442917525,0.14700354263944582,4.0,2.7578486040063455,0.1406629400040079,MLM
247,0.09504280284853578,0.2434235865484038,4.0,1.60527188032535,0.03754493318574398,MMC
248,0.11713282364936678,0.3304385667554869,5.0,0.8533505733940497,0.03959610792484377,MMM
249,0.08623377965396561,0.38339107150804463,20.0,1.517807532148039,0.35928600344217776,MNST
250,0.1240855226741191,0.19796502239229863,1.0,0.018091772791590927,0.018091772791590927,MON
251,0.010942367238089527,0.06903352750464375,5.0,1.4906392593651352,0.14929109377813707,MOS
252,0.012288066999670463,0.0417412543426825,12.0,1.153622943233803,0.2123774711381882,MO
253,0.07309968460865379,0.49703146934619435,1.0,0.01364721937905155,0.01364721937905155,MPC
254,-0.005109890157513436,-0.02724952071851272,19.0,0.7144131767340658,0.49564207184454007,MRK
